,OBJECTID,TRACT,GEOID,Total Population,Total Pop of 1 Race,Pop of 1 race: White,Pop of 1 race: Black,Pop of 1 race: American Indian Alaskan,Pop of 1 race: Asian,Pop of 1 race: Native Hawaiian Pacific Islander,Pop of 1 race: Other Race,Pop 2 or more races: Black and,Pop 2 or more races: American Indian Alaskan and,Pop 2 or more races: Asian and,Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Hispanic Population,Total Non-Minority Population (White Not Hispanic),Not Hispanic Pop of 1 race: Black,Not Hispanic Pop of 1 race: American Indian Alaskan,Not Hispanic Pop of 1 race: Asian,Not Hispanic Pop of 1 race: Native Hawaiian Pacific Islander,Not Hispanic Pop of 1 race: Other Race,Not Hispanic Pop 2 or more races: Black and,Not Hispanic Pop 2 or more races: American Indian Alaskan and,Not Hispanic Pop 2 or more races: Asian and,Not Hispanic Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Pop 18+,18+ Pop 1 race: White,18+ Pop 1 race: Black,18+ Pop 1 race: American Indian Alaskan,18+ Pop 1 race: Asian,18+ Pop 1 race: Native Hawaiian Pacific Islander,18+ Pop 1 race: Other race,18+ Pop 2 or more races: Black and,18+ Pop 2 or more races: American Indian Alaskan and,18+ Pop 2 or more races: Asian and,18+ Pop 2 or more races: Native Hawaiian Pacific Islander,Hispanic 18+ Pop,Non-Minority 18+ Pop (White Non-Hispanic),Not Hispanic 18+ Pop 1 race: Black,Not Hispanic 18+ Pop 1 race: American Indian Alaskan,Not Hispanic 18+ Pop 1 race: Asian,Not Hispanic 18+ Pop 1 race: Native Hawaiian Pacific Islander,Not Hispanic 18+ Pop 1 race: Other race,Not Hispanic 18+ Pop 2 or more races: Black and,Not Hispanic 18+ Pop 2 or more races: American Indian Alaskan and,Not Hispanic 18+ Pop 2 or more races: Asian and,Not Hispanic 18+ Pop 2 or more races: Native Hawaiian Pacific Islander and,Total Housing Units,Occupied Housing Units,Vacant Housing Units,ACRES,SQ_MILES,Shape_Length,Shape_Area,FAGI_TOTAL_2010,FAGI_MEDIAN_2010,FAGI_TOTAL_2013,FAGI_MEDIAN_2013,FAGI_TOTAL_2011,FAGI_MEDIAN_2011,FAGI_TOTAL_2012,FAGI_MEDIAN_2012,FAGI_TOTAL_2014,FAGI_MEDIAN_2014,FAGI_TOTAL_2015,FAGI_MEDIAN_2015,NEIGHBORHOODCLUSTER,POPDENSITY,INCOME_LEVEL_2010,INCOME_LEVEL_2015
0,1,34.0,11001003400,4347,4152,576,3392,20,97,3,64,157,66,45,8,239,528,3295,8,90,3,16,143,61,40,5,3997,538,3129,15,86,3,53,140,59,40,8,200,500,3043,8,79,3,14,129,55,35,5,1347,1025,322,266.26420059,0.41603782,4800.86593863745,1077532.99660087,53344073.0,39287.0,75037699.0,43117.0,59287920.0,38099.0,70436558.0,40413.0,79636907.0,42596.0,92096567.0,46152.0,3,10448.569315164665,MID_INCOME,MID_INCOME
1,2,35.0,11001003500,3740,3594,626,2681,14,106,0,167,91,26,28,8,371,530,2620,11,106,0,7,70,24,25,7,3398,581,2444,13,104,0,131,85,26,23,8,292,508,2387,10,104,0,7,70,24,20,7,1189,964,225,94.35238321,0.14742560000000002,2982.4735584343102,381830.550236599,46454657.0,30673.5,66239783.0,32859.5,55914150.0,30555.5,60909648.0,32885.0,78873551.0,40450.0,97549566.0,44843.0,3,25368.728361966983,MID_INCOME,MID_INCOME
2,3,36.0,11001003600,4208,4048,1773,1645,13,161,0,456,58,39,44,11,809,1521,1604,8,158,0,14,49,20,41,9,3680,1691,1378,11,149,0,324,50,31,35,10,616,1473,1346,7,146,0,11,44,19,32,8,2308,1987,321,75.52164797,0.11800258,2293.46528038609,305625.267934718,110621750.0,35858.0,161376203.0,42788.5,147954698.0,40355.0,153247476.0,40692.0,143081526.0,41616.0,178040405.0,46806.0,2,35660.23725921925,MID_INCOME,MID_INCOME
3,4,37.0,11001003700,5763,5507,1915,2527,22,212,10,821,134,60,55,15,1514,1490,2405,13,206,7,16,65,34,45,7,4798,1782,1988,17,193,9,605,106,50,49,10,1125,1450,1906,9,188,6,15,55,26,41,7,2570,2401,169,72.2318631,0.11286229,2297.04064353927,292311.980827426,103905996.0,32263.0,162058134.0,41387.5,126923023.0,35705.5,143596631.0,38248.0,140501730.0,39131.0,181651966.0,45690.5,2,51062.2281366079,MID_INCOME,MID_INCOME
4,5,38.0,11001003800,4614,4419,2884,825,22,261,1,426,77,37,78,7,935,2456,796,10,257,1,26,59,27,68,3,4177,2726,729,18,240,1,313,53,35,64,6,738,2364,705,8,236,1,22,39,26,55,2,2861,2625,236,87.92165175,0.13737758,2708.29507380276,355806.303173665,155960140.0,48799.0,209040361.0,54786.0,196678623.0,52077.0,213601983.0,54908.0,213544242.0,56380.0,235619338.0,60561.0,1,33586.26640533339,MID_INCOME,MID_INCOME
5,6,39.0,11001003900,4474,4304,3285,563,21,225,4,206,88,43,59,3,553,2995,546,13,224,3,21,55,25,57,3,4225,3145,528,20,208,4,181,72,34,49,3,492,2884,511,13,207,3,17,46,24,47,3,2996,2806,190,99.08050118,0.15481328,3408.08064364438,400964.56490771205,155878056.0,51160.0,206237963.0,59470.0,211741280.0,56264.5,215163653.0,58480.0,179473697.0,58736.0,214640250.0,63630.0,1,28899.329566559147,MID_INCOME,MID_INCOME
6,7,65.0,11001006500,2531,2469,2088,228,13,113,1,26,19,13,32,7,123,1999,222,11,112,1,10,17,9,31,6,2296,1913,212,11,97,1,18,11,8,25,5,102,1837,207,10,96,1,6,9,6,24,4,1543,1320,223,122.57017207,0.1915159,3386.49588135959,496023.89097890205,120078372.0,76911.0,138021124.0,79139.0,138113790.0,75279.0,153834127.0,75784.0,137875103.0,89279.0,156307500.0,92684.0,26,13215.612907335631,MID_HIGH_INCOME,MID_HIGH_INCOME
7,8,15.0,11001001500,5911,5729,4877,643,7,145,2,55,67,34,97,8,304,4642,637,6,144,2,21,62,27,86,8,4371,3609,521,7,119,2,34,33,21,36,5,205,3444,517,6,118,2,15,31,16,30,5,2126,2081,45,1161.05094687,1.81414212,10650.327087649599,4698606.50898024,505817116.0,135878.0,464768292.0,136868.0,531571394.0,140516.0,611814393.0,147108.0,586301676.0,158383.0,623341016.0,165589.0,10,3258.2893781221505,HIGH_INCOME,HIGH_INCOME
8,9,16.0,11001001600,3957,3799,997,2670,8,55,1,68,114,51,45,0,200,930,2621,4,55,0,15,104,45,37,0,3239,801,2255,6,48,1,42,59,41,19,0,136,756,2219,3,48,0,6,57,39,16,0,1685,1620,65,667.00608096,1.04219701,8627.683622023951,2699277.85855378,239860892.0,88449.5,206050056.0,86508.5,241106479.0,84972.0,253855939.0,89084.5,280146313.0,97830.5,285179163.0,99800.5,16,3796.7869433822307,MID_HIGH_INCOME,MID_HIGH_INCOME
9,10,17.02,11001001702,2644,2519,1020,1342,6,79,1,71,94,34,29,2,212,918,1325,5,78,1,8,77,33,25,1,2273,888,1175,5,70,1,55,57,26,18,1,155,815,1162,4,69,1,6,45,25,17,1,1312,1230,82,229.81597262,0.35908746,4873.12595831827,930032.2502837359,85001437.0,53846.5,99172867.0,57746.0,95489279.0,53472.5,101908307.0,56393.0,112274193.0,59101.0,118391616.0,59590.0,17,7363.108697808606,MID_INCOME,MID_INCOME
10,11,1.0,11001000100,4890,4808,4444,105,9,201,2,47,17,12,47,2,296,4202,101,8,198,2,15,16,10,43,2,4305,3924,93,8,184,2,33,11,12,30,2,257,3711,90,7,181,2,9,10,10,26,2,2999,2686,313,585.8460139,0.9153844000000001,10028.2362852268,2370834.717974,551823378.0,89357.0,444019426.0,86101.5,563927063.0,88250.0,806141206.0,92634.0,856267279.0,108308.0,698565228.0,110944.5,4,5342.018063668115,MID_HIGH_INCOME,HIGH_INCOME
12,13,2.02,11001000202,5425,5294,4705,159,5,375,3,47,33,16,76,7,343,4438,150,3,370,3,12,27,14,68,6,5061,4384,155,4,360,3,43,26,15,65,7,320,4132,146,3,355,3,10,22,14,59,6,2143,1933,210,305.03946428,0.47662417,6742.45937677228,1234450.92243497,379656242.0,116867.0,244019719.0,95033.5,365051633.0,109460.5,390987146.0,106470.0,433631252.0,114630.0,429158437.0,115586.0,4,11382.133642110512,HIGH_INCOME,HIGH_INCOME
13,14,3.0,11001000300,6233,6076,5497,139,11,352,1,76,48,20,93,9,404,5186,135,10,348,1,10,44,18,89,9,5542,4900,123,9,323,1,71,36,21,60,7,344,4644,121,8,319,1,8,32,16,59,7,2912,2754,158,252.60319581,0.3946925,4077.6913194682,1022248.8713540001,274689743.0,66914.5,306388942.0,58822.0,356897869.0,58959.5,371428724.0,61936.5,322647481.0,73252.0,358002514.0,70413.0,14,15792.040639231807,MID_HIGH_INCOME,MID_HIGH_INCOME
